algorithm,tasks,iteration,thread,tasks,time
Priority of vertices calculated in 0.454482 milliseconds.
Priority of vertices calculated in 0.5949099999999999 milliseconds.
Priority of vertices calculated in 0.11406999999999999 milliseconds.
Priority of vertices calculated in 0.11283 milliseconds.
Priority of vertices calculated in 1.3412979999999999 milliseconds.
Priority of vertices calculated in 0.111035 milliseconds.
Priority of vertices calculated in 0.10678599999999999 milliseconds.
Priority of vertices calculated in 0.107777 milliseconds.
Priority of vertices calculated in 0.103957 milliseconds.
Priority of vertices calculated in 0.691689 milliseconds.
Priority of vertices calculated in 0.27327599999999996 milliseconds.
Priority of vertices calculated in 0.07171799999999999 milliseconds.
Priority of vertices calculated in 0.052213999999999997 milliseconds.
Priority of vertices calculated in 0.05352 milliseconds.
Priority of vertices calculated in 0.050237 milliseconds.
Priority of vertices calculated in 1.560868 milliseconds.
Priority of vertices calculated in 0.053422 milliseconds.
Priority of vertices calculated in 0.043618 milliseconds.
Priority of vertices calculated in 0.08010099999999999 milliseconds.
Priority of vertices calculated in 0.079789 milliseconds.
Priority of vertices calculated in 0.080458 milliseconds.
Priority of vertices calculated in 0.074692 milliseconds.
Priority of vertices calculated in 0.074456 milliseconds.
Priority of vertices calculated in 0.14521299999999998 milliseconds.
Priority of vertices calculated in 0.08435999999999999 milliseconds.
Priority of vertices calculated in 0.075862 milliseconds.
Priority of vertices calculated in 0.075594 milliseconds.
FIFO,50,1,1,50,7606.2569809999995
LIFO,50,1,1,50,7622.013996
LIFO,50,2,1,50,7630.488646999999
FIFO,50,3,1,50,7605.301912999999
PRIO,50,3,1,50,7650.762916
LIFO,50,3,1,50,7610.899818
PRIO,50,1,1,50,7626.207082999999
FIFO,50,1,1,50,7632.051090999999
PRIO,50,1,2,0,7689.908547999999
FIFO,50,1,2,0,7695.845724999999
FIFO,50,3,1,50,7602.3699639999995
PRIO,50,3,1,50,7614.195796
LIFO,50,3,1,50,7617.293672
PRIO,50,2,1,50,8064.969915
PRIO,50,2,1,50,7620.657501
FIFO,50,3,2,0,7699.212395
LIFO,50,3,2,0,7699.052677
PRIO,50,3,2,0,7713.0987939999995
FIFO,50,2,1,50,7654.340052
LIFO,50,3,1,50,7598.977988
FIFO,50,3,1,50,7608.433328
PRIO,50,2,1,50,7891.592057999999
FIFO,50,2,3,0,7797.405293999999
FIFO,50,3,3,0,7697.2170209999995
LIFO,50,3,3,0,7691.6562349999995
PRIO,50,2,2,0,7803.777268
FIFO,50,3,1,50,7613.0389239999995
FIFO,50,3,2,0,7699.009139
LIFO,50,2,1,50,7617.558701999999
LIFO,50,3,2,0,7695.367623
PRIO,50,2,3,0,7805.770487999999
PRIO,50,3,1,50,7615.476258
FIFO,50,2,2,0,7808.925262
LIFO,50,1,1,50,7977.462745
FIFO,50,1,1,50,7608.525237999999
LIFO,50,1,2,0,7974.736089999999
PRIO,50,1,1,50,7609.582452
LIFO,50,3,1,50,7613.034836
PRIO,50,2,1,50,7606.706190999999
LIFO,50,1,1,50,7623.334540999999
FIFO,50,2,1,50,7617.334943999999
PRIO,50,2,2,0,8002.962761999999
PRIO,50,1,1,50,8462.676738
FIFO,50,3,1,50,7608.036596
PRIO,50,3,1,50,7614.158783
LIFO,50,2,1,50,7649.293116
FIFO,50,1,2,0,7698.731143999999
PRIO,50,1,2,0,7716.472089999999
LIFO,50,1,2,0,7708.072061999999
FIFO,50,2,2,0,7714.836416
PRIO,50,2,2,0,7717.828971
LIFO,50,2,2,0,7728.785069
PRIO,50,3,2,0,7702.004722
FIFO,50,3,2,0,7700.401354
PRIO,50,1,1,50,8036.552194999999
LIFO,50,1,1,50,8046.390041
FIFO,50,2,1,50,8477.083438
FIFO,50,1,1,50,8058.27849
FIFO,50,2,1,50,7894.4569409999995
PRIO,50,1,1,50,7941.475221
LIFO,50,3,1,50,7600.274767
FIFO,50,1,2,0,8138.280653
LIFO,50,1,3,0,8136.910586
PRIO,50,1,1,50,7604.740349
FIFO,50,1,3,0,8146.199059
LIFO,50,1,2,0,8134.504841999999
FIFO,50,1,1,50,7612.542371
FIFO,50,3,1,50,7626.212078
