size,density,cores,algo,aveg_time_ms
50,0.200000,16,FIFO,3.600000
50,0.500000,16,FIFO,4.600000
50,0.800000,16,FIFO,5.400000
100,0.200000,16,FIFO,3.800000
100,0.500000,16,FIFO,3.600000
100,0.800000,16,FIFO,4.000000
200,0.200000,16,FIFO,4.200000
200,0.500000,16,FIFO,3.400000
200,0.800000,16,FIFO,3.600000
400,0.200000,16,FIFO,2.400000
400,0.500000,16,FIFO,3.600000
400,0.800000,16,FIFO,3.800000
800,0.200000,16,FIFO,4.000000
800,0.500000,16,FIFO,4.600000
800,0.800000,16,FIFO,5.200000
1600,0.200000,16,FIFO,4.400000
1600,0.500000,16,FIFO,3.800000
1600,0.800000,16,FIFO,4.000000
