size,density,cores,algo,aveg_time_ms
50,0.200000,8,FIFO,1.600000
50,0.500000,8,FIFO,2.000000
50,0.800000,8,FIFO,8.400000
100,0.200000,8,FIFO,2.000000
100,0.500000,8,FIFO,1.400000
100,0.800000,8,FIFO,1.600000
200,0.200000,8,FIFO,1.600000
200,0.500000,8,FIFO,2.000000
200,0.800000,8,FIFO,2.200000
400,0.200000,8,FIFO,1.400000
400,0.500000,8,FIFO,1.600000
400,0.800000,8,FIFO,1.400000
800,0.200000,8,FIFO,1.800000
800,0.500000,8,FIFO,1.400000
800,0.800000,8,FIFO,1.000000
1600,0.200000,8,FIFO,1.000000
1600,0.500000,8,FIFO,1.200000
1600,0.800000,8,FIFO,1.800000
