size,density,cores,algo,aveg_time_ms
50,0.200000,32,LIFO,9.400000
50,0.500000,32,LIFO,7.600000
50,0.800000,32,LIFO,7.800000
100,0.200000,32,LIFO,7.800000
100,0.500000,32,LIFO,8.200000
100,0.800000,32,LIFO,9.200000
200,0.200000,32,LIFO,8.400000
200,0.500000,32,LIFO,9.800000
200,0.800000,32,LIFO,12.200000
400,0.200000,32,LIFO,8.800000
400,0.500000,32,LIFO,9.400000
400,0.800000,32,LIFO,10.800000
800,0.200000,32,LIFO,12.200000
800,0.500000,32,LIFO,12.000000
800,0.800000,32,LIFO,11.400000
1600,0.200000,32,LIFO,8.200000
1600,0.500000,32,LIFO,12.200000
1600,0.800000,32,LIFO,8.800000
