size,density,cores,algo,aveg_time_ms
50,0.200000,4,LIFO,0.400000
50,0.500000,4,LIFO,1.200000
50,0.800000,4,LIFO,1.400000
100,0.200000,4,LIFO,1.200000
100,0.500000,4,LIFO,1.000000
100,0.800000,4,LIFO,1.000000
200,0.200000,4,LIFO,1.000000
200,0.500000,4,LIFO,0.800000
200,0.800000,4,LIFO,1.200000
400,0.200000,4,LIFO,1.000000
400,0.500000,4,LIFO,1.000000
400,0.800000,4,LIFO,0.800000
800,0.200000,4,LIFO,0.800000
800,0.500000,4,LIFO,0.600000
800,0.800000,4,LIFO,1.000000
1600,0.200000,4,LIFO,0.800000
1600,0.500000,4,LIFO,0.800000
1600,0.800000,4,LIFO,1.400000
