size,density,cores,algo,aveg_time_ms
50,0.200000,1,PRIO,0.400000
50,0.500000,1,PRIO,0.200000
50,0.800000,1,PRIO,0.600000
100,0.200000,1,PRIO,0.200000
100,0.500000,1,PRIO,0.200000
100,0.800000,1,PRIO,6.600000
200,0.200000,1,PRIO,3.400000
200,0.500000,1,PRIO,10.800000
200,0.800000,1,PRIO,21.800000
400,0.200000,1,PRIO,17.800000
400,0.500000,1,PRIO,25.800000
400,0.800000,1,PRIO,22.200000
800,0.200000,1,PRIO,34.000000
800,0.500000,1,PRIO,24.600000
800,0.800000,1,PRIO,38.600000
1600,0.200000,1,PRIO,22.400000
1600,0.500000,1,PRIO,43.200000
1600,0.800000,1,PRIO,37.200000
