size,density,cores,algo,aveg_time_ms
50,0.200000,64,PRIO,13.600000
50,0.500000,64,PRIO,20.200000
50,0.800000,64,PRIO,19.800000
100,0.200000,64,PRIO,28.600000
100,0.500000,64,PRIO,17.400000
100,0.800000,64,PRIO,21.400000
200,0.200000,64,PRIO,18.000000
200,0.500000,64,PRIO,26.200000
200,0.800000,64,PRIO,22.400000
400,0.200000,64,PRIO,27.800000
400,0.500000,64,PRIO,25.600000
400,0.800000,64,PRIO,21.800000
800,0.200000,64,PRIO,24.800000
800,0.500000,64,PRIO,35.400000
800,0.800000,64,PRIO,21.200000
1600,0.200000,64,PRIO,1043.400000
1600,0.500000,64,PRIO,22.200000
1600,0.800000,64,PRIO,32.000000
