size,density,cores,algo,aveg_time
50,0.200000,1,PRIO,0.000000
50,0.200000,1,FIFO,24.333333
50,0.200000,1,LIFO,17.333333
50,0.200000,2,PRIO,0.000000
50,0.200000,2,FIFO,3.333333
50,0.200000,2,LIFO,13.000000
50,0.200000,3,PRIO,0.000000
50,0.200000,3,FIFO,8.333333
50,0.200000,3,LIFO,11.333333
50,0.500000,1,PRIO,0.000000
50,0.500000,1,FIFO,24.333333
50,0.500000,1,LIFO,6.666667
50,0.500000,2,PRIO,0.000000
50,0.500000,2,FIFO,8.666667
50,0.500000,2,LIFO,13.666667
50,0.500000,3,PRIO,0.000000
50,0.500000,3,FIFO,9.666667
50,0.500000,3,LIFO,4.666667
50,0.800000,1,PRIO,0.000000
50,0.800000,1,FIFO,52.666667
50,0.800000,1,LIFO,7.000000
50,0.800000,2,PRIO,0.000000
50,0.800000,2,FIFO,4.000000
50,0.800000,2,LIFO,4.333333
50,0.800000,3,PRIO,0.000000
50,0.800000,3,FIFO,5.333333
50,0.800000,3,LIFO,8.333333
